,,,33.24392065E-3,1.8000000E-3,,,,,33.24392065E-3,799.999979790E-6,
,,,33.24396163E-3,999.999931082E-6,,,,,33.24396163E-3,399.99998990E-6,
,,,33.24400261E-3,-599.999970291E-6,,,,,33.24400261E-3,-799.999979790E-6,
,,,33.24403986E-3,1.4000000E-3,,,,,33.24403986E-3,-399.99998990E-6,
,,,33.24408084E-3,-2.2000000E-3,,,,,33.24408084E-3,-799.999979790E-6,
,,,33.24412182E-3,-1.4000000E-3,,,,,33.24412182E-3,-799.999979790E-6,
,,,33.24416280E-3,1.8000000E-3,,,,,33.24416280E-3,799.999979790E-6,
,,,33.24420005E-3,199.99999495E-6,,,,,33.24420005E-3,799.999979790E-6,
,,,33.24424103E-3,-2.6000000E-3,,,,,33.24424103E-3,-1.6000000E-3,
,,,33.24428201E-3,-599.999970291E-6,,,,,33.24428201E-3,-1.1999999E-3,
,,,33.24432299E-3,199.99999495E-6,,,,,33.24432299E-3,-799.999979790E-6,
,,,33.24436024E-3,-599.999970291E-6,,,,,33.24436024E-3,-1.1999999E-3,
,,,33.24440122E-3,-599.999970291E-6,,,,,33.24440122E-3,-799.999979790E-6,
,,,33.24444219E-3,199.99999495E-6,,,,,33.24444219E-3,799.999979790E-6,
,,,33.24448317E-3,-599.999970291E-6,,,,,33.24448317E-3,399.99998990E-6,
,,,33.24452043E-3,-2.2000000E-3,,,,,33.24452043E-3,-399.99998990E-6,
,,,33.24456140E-3,1.8000000E-3,,,,,33.24456140E-3,399.99998990E-6,
,,,33.24460238E-3,2.2000000E-3,,,,,33.24460238E-3,1.6000000E-3,
,,,33.24464336E-3,-999.999931082E-6,,,,,33.24464336E-3,799.999979790E-6,
,,,33.24468061E-3,-599.999970291E-6,,,,,33.24468061E-3,-799.999979790E-6,
,,,33.24472159E-3,2.6000000E-3,,,,,33.24472159E-3,1.1999999E-3,
,,,33.24476257E-3,-599.999970291E-6,,,,,33.24476257E-3,799.999979790E-6,
,,,33.24479982E-3,199.99999495E-6,,,,,33.24479982E-3,399.99998990E-6,
,,,33.24484080E-3,1.4000000E-3,,,,,33.24484080E-3,799.999979790E-6,
,,,33.24488178E-3,-2.2000000E-3,,,,,33.24488178E-3,-399.99998990E-6,
,,,33.24492276E-3,-599.999970291E-6,,,,,33.24492276E-3,-399.99998990E-6,
,,,33.24496001E-3,999.999931082E-6,,,,,33.24496001E-3,799.999979790E-6,
,,,33.24500099E-3,1.8000000E-3,,,,,33.24500099E-3,2.3999999E-3,
,,,33.24504197E-3,-1.4000000E-3,,,,,33.24504197E-3,799.999979790E-6,
,,,33.24508294E-3,-2.6000000E-3,,,,,33.24508294E-3,-1.9999999E-3,
,,,33.24512020E-3,999.999931082E-6,,,,,33.24512020E-3,-1.1999999E-3,
,,,33.24516118E-3,-199.99999495E-6,,,,,33.24516118E-3,0.0,
,,,33.24520215E-3,-2.6000000E-3,,,,,33.24520215E-3,-1.9999999E-3,
,,,33.24524313E-3,199.99999495E-6,,,,,33.24524313E-3,-799.999979790E-6,
,,,33.24528039E-3,199.99999495E-6,,,,,33.24528039E-3,0.0,
,,,33.24532136E-3,-2.2000000E-3,,,,,33.24532136E-3,-1.6000000E-3,
,,,33.24536234E-3,199.99999495E-6,,,,,33.24536234E-3,-1.1999999E-3,
,,,33.24540332E-3,1.8000000E-3,,,,,33.24540332E-3,799.999979790E-6,
,,,33.24544057E-3,-2.2000000E-3,,,,,33.24544057E-3,-399.99998990E-6,
,,,33.24548155E-3,-1.4000000E-3,,,,,33.24548155E-3,-399.99998990E-6,
,,,33.24552253E-3,199.99999495E-6,,,,,33.24552253E-3,-399.99998990E-6,
,,,33.24556351E-3,1.4000000E-3,,,,,33.24556351E-3,799.999979790E-6,
,,,33.24560076E-3,-999.999931082E-6,,,,,33.24560076E-3,399.99998990E-6,
,,,33.24564174E-3,-599.999970291E-6,,,,,33.24564174E-3,399.99998990E-6,
,,,33.24568272E-3,999.999931082E-6,,,,,33.24568272E-3,0.0,
,,,33.24571997E-3,-599.999970291E-6,,,,,33.24571997E-3,399.99998990E-6,
,,,33.24576095E-3,-1.4000000E-3,,,,,33.24576095E-3,-1.6000000E-3,
,,,33.24580193E-3,3.00000003E-3,,,,,33.24580193E-3,1.1999999E-3,
,,,33.24584290E-3,-599.999970291E-6,,,,,33.24584290E-3,799.999979790E-6,
,,,33.24588016E-3,-3.79999983E-3,,,,,33.24588016E-3,-1.1999999E-3,
,,,33.24592113E-3,599.999970291E-6,,,,,33.24592113E-3,-799.999979790E-6,
,,,33.24596211E-3,2.2000000E-3,,,,,33.24596211E-3,799.999979790E-6,
,,,33.24600309E-3,199.99999495E-6,,,,,33.24600309E-3,799.999979790E-6,
,,,33.24604034E-3,-599.999970291E-6,,,,,33.24604034E-3,0.0,
,,,33.24608132E-3,599.999970291E-6,,,,,33.24608132E-3,-399.99998990E-6,
,,,33.24612230E-3,-199.99999495E-6,,,,,33.24612230E-3,-1.1999999E-3,
,,,33.24616328E-3,-1.4000000E-3,,,,,33.24616328E-3,-799.999979790E-6,
,,,33.24620053E-3,599.999970291E-6,,,,,33.24620053E-3,-399.99998990E-6,
,,,33.24624151E-3,599.999970291E-6,,,,,33.24624151E-3,399.99998990E-6,
